"Country","ISO3","continent","IMP","IEF","GDP","GINI","HDI","HEALTH","EDI","PFI","NORDIC"
"Cote d'Ivoire","CIV","Africa",0.555944120366388,60.4,2.33337128334477,0.353,0.582,3.76207662,4.22,66.89,0
"Cameroon","CMR","Africa",0.643661489079647,51.9,1.60487726954895,0.422,0.588,4.30539274,2.56,44.95,0
"Congo, Dem. Rep.","COD","Africa",0.660911887157884,47.9,0.642612267148918,0.447,0.522,3.67749357,1.92,48.91,0
"Congo, Rep.","COG","Africa",0.600476813665012,48.1,2.62083804304713,0.489,0.649,3.49339676,1.92,62.57,0
"Colombia","COL","Americas",0.528157011653818,63.1,6.68044506854481,0.539,0.788,9.01772404,6.35,49.63,0
"Costa Rica","CRI","Americas",0.324364283749282,66.5,13.6259008491478,0.458,0.833,7.61130476,8.29,76.13,0
"Cyprus","CYP","Asia",0.326765469347043,72.3,33.89444921875,0.315,0.913,9.47552109,7.38,63.14,0
"Czechia","CZE","Europe",0.260975920350357,71.9,28.2822236715857,0.259,0.915,9.45247459,8.08,80.14,0
"Germany","DEU","Europe",0.166675699989608,73.7,49.6861154582583,0.324,0.959,12.90171242,8.73,83.84,0
"Denmark","DNK","Europe",0.102136267388301,77.6,68.0913191138669,0.293,0.962,10.74728584,9.28,89.6,1
"Dominican Republic","DOM","Americas",0.496238623222856,62.6,10.1042449349081,0.384,0.776,4.91807747,6.62,73.89,0
"Algeria","DZA","Africa",0.511425221931594,43.2,4.96155257664733,0.276,0.763,5.0110569,3.55,41.98,0
"Ecuador","ECU","Americas",0.54449366872611,55,6.51558528418336,0.446,0.777,8.20646191,5.24,51.3,0
"Egypt","EGY","Africa",0.653787187643269,49.6,4.23330783744856,0.285,0.754,4.60955143,2.79,25.1,0
"Spain","ESP","Europe",0.289391716514026,65,30.2702687017458,0.336,0.918,10.30862141,8.13,76.01,0
"Estonia","EST","Europe",0.181076564176398,78.6,28.4511477825175,0.323,0.905,7.47860336,8.13,86.44,0
"Ethiopia","ETH","Africa",0.637793279737116,48.3,1.01107332413462,0.311,0.497,3.2075386,3.24,41.37,0
"Finland","FIN","Europe",0.129294702680588,77.1,50.440560224974,0.279,0.948,9.83458328,9.3,86.55,1
"France","FRA","Europe",0.276224522291751,63.6,41.0828119320747,0.312,0.92,12.29229355,7.99,78.65,0
"Gabon","GAB","Africa",0.597956993693734,56.1,8.40920741452279,0.38,0.733,2.69024062,2.18,65.83,0
"United Kingdom","GBR","Europe",0.215526714863066,69.9,46.0629914079698,0.324,0.946,12.01903439,8.34,77.51,0
"Georgia","GEO","Asia",0.418850640682806,68.7,6.72984659930283,0.348,0.844,8.3153286,4.7,53.05,0
"Ghana","GHA","Africa",0.455001934920349,58,2.22989122647803,0.435,0.628,3.86030865,6.24,67.71,0
"Guinea","GIN","Africa",0.591205734849258,53.2,1.41659612011764,0.296,0.5,3.7175858,2.04,59.97,0
"The Gambia","GMB","Africa",0.513741029831414,57.9,0.836244875582631,0.388,0.524,3.19251013,4.47,65.53,0
"Greece","GRC","Europe",0.403081538554521,56.9,20.9718349258283,0.334,0.908,9.18476486,8.07,57.15,0
"Guatemala","GTM","Americas",0.560502363708542,62.7,5.35870127494396,0.452,0.662,6.97680426,4.55,42.28,0
"Guyana","GUY","Americas",0.500232218780521,56.9,17.9134928066879,0.451,0.776,4.92369986,6.11,60.1,0
"Honduras","HND","Americas",0.588605875316127,58.7,3.00328996826399,0.468,0.645,9.16101742,4.98,38.18,0
"Croatia","HRV","Europe",0.39254898560424,66.4,18.4660955472648,0.3,0.889,8.01351929,6.5,68.79,0
"Haiti","HTI","Americas",0.67623984753676,49.9,1.76062635668777,0.411,0.554,3.44216156,2.74,55.92,0
"Hungary","HUN","Europe",0.497395628217625,64.1,18.4836366867035,0.302,0.87,7.38329268,6.51,62.98,0
"Indonesia","IDN","Asia",0.476123051990841,63.5,4.73083484836107,0.349,0.728,3.70634937,6.44,51.15,0
"India","IND","Asia",0.511012588205745,52.9,2.34744829434623,0.255,0.685,3.34680939,7.29,31.28,0
"Ireland","IRL","Europe",0.176506898264159,82,105.234511567597,0.299,0.949,6.59614468,9.19,85.59,0
"Iran","IRN","Asia",0.617534719359793,42.2,4.40509291519791,0.359,0.799,5.77013779,1.96,21.3,0
"Italy","ITA","Europe",0.34348824787762,62.3,35.6539042103495,0.337,0.915,9.34389782,7.58,69.8,0
"Jamaica","JAM","Americas",0.430138759118338,68.1,6.02215339791763,0.399,0.72,7.18521214,6.74,77.3,0
"Jordan","JOR","Asia",0.448419986705699,58.8,4.33225159897931,0.337,0.754,7.20182657,3.28,44.3,0
"Japan","JPN","Asia",0.216325088897482,69.3,34.0656438962526,0.323,0.925,11.18996906,8.48,62.12,0
"Kazakhstan","KAZ","Asia",0.463683897896324,62.1,11.2553396437881,0.292,0.837,3.92458963,3.08,41.11,0
"Kenya","KEN","Africa",0.549310396063567,52.5,2.10956288513137,0.387,0.628,4.56525421,5.05,53.22,0
"Kyrgyz Republic","KGZ","Asia",0.551731314724054,55.8,1.73972018344174,0.264,0.72,5.35275412,3.52,49.11,0
"Cambodia","KHM","Asia",0.689746020620068,56.5,2.32503050040841,0.236,0.606,5.51976061,2.94,34.28,0
"South Korea","KOR","Asia",0.256757084621094,73.7,32.3946833725203,0.329,0.937,8.95732689,7.75,64.87,0
"Lebanon","LBN","Asia",0.558148528965616,45.6,3.65435845534878,0.318,0.752,4.85634661,3.56,41.91,0
"Liberia","LBR","Africa",0.55855175219624,49.6,0.744617175237387,0.353,0.51,13.8384428,5.57,65.13,0
"Sri Lanka","LKA","Asia",0.487872762705063,52.2,3.34263650253855,0.377,0.776,4.02830219,6.19,35.21,0
"Lithuania","LTU","Europe",0.225811756600317,72.2,25.085784063499,0.366,0.895,7.75970221,7.59,81.73,0
"Luxembourg","LUX","Europe",0.170221527269852,78.4,123.719658915996,0.341,0.922,5.66065645,8.88,83.8,0
"Latvia","LVA","Europe",0.266518182721923,72.8,20.2272307431581,0.337,0.889,9.10995388,7.66,82.9,0
"Morocco","MAR","Africa",0.519384895221429,58.4,3.45539624023438,0.395,0.71,5.522717,4.97,45.97,0
"Moldova","MDA","Europe",0.469553796637197,58.5,5.74429618434435,0.259,0.785,7.7490406,6.04,74.86,0
"Madagascar","MDG","Africa",0.567904513130331,58.9,0.503514533472879,0.425,0.487,3.5045228,5.33,54.07,0
"Mexico","MEX","Americas",0.596887030811418,63.2,11.4021410374782,0.435,0.789,5.89244318,5.32,49.01,0
